track_id,track_name,artist_name_x,artist_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist_name_y,genres
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,93,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,audio_features,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,175459,4,Sabrina Carpenter,['pop']
0UYnhUfnUj5adChuAXvLUB,Sailor Song,Gigi Perez,1iCnM8foFssWlPRLfAbIwo,81,0.492,0.416,11,-10.439,1,0.0254,0.686,8.61e-05,0.203,0.297,94.926,audio_features,spotify:track:0UYnhUfnUj5adChuAXvLUB,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB,211979,4,Gigi Perez,['bedroom pop']
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,3bO19AOone0ubCsfDXDtYt,89,0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,audio_features,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,172533,4,Myles Smith,['singer-songwriter pop']
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,06HL4z0CvFAxyc27GXpf02,84,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,audio_features,spotify:track:4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/audio-analysis/4q5YezDOIPcoLr8R81x9qy,218005,4,Taylor Swift,['pop']
5G345YEhvleYxQLfYUlEFv,Moonlit Floor,LISA,5L1lO4eRHmJ7a0Q6csE5cT,80,0.734,0.787,5,-3.951,0,0.116,0.126,0.0,0.312,0.672,109.939,audio_features,spotify:track:5G345YEhvleYxQLfYUlEFv,https://api.spotify.com/v1/tracks/5G345YEhvleYxQLfYUlEFv,https://api.spotify.com/v1/audio-analysis/5G345YEhvleYxQLfYUlEFv,155757,4,LISA,['k-pop']
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,81,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,audio_features,spotify:track:46kspZSY3aKmwQe7O77fCC,https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC,https://api.spotify.com/v1/audio-analysis/46kspZSY3aKmwQe7O77fCC,228639,4,Ariana Grande,['pop']
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,81,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,audio_features,spotify:track:46kspZSY3aKmwQe7O77fCC,https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC,https://api.spotify.com/v1/audio-analysis/46kspZSY3aKmwQe7O77fCC,228639,4,Ariana Grande,['pop']
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,11p2E654TTU8e0nZWBR4AL,83,0.646,0.668,2,-5.203,1,0.0282,0.491,0.0,0.212,0.64,90.969,audio_features,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,https://api.spotify.com/v1/tracks/5uQ7de4EWjb3rkcFxyEOpu,https://api.spotify.com/v1/audio-analysis/5uQ7de4EWjb3rkcFxyEOpu,148318,4,Mark Ambor,['singer-songwriter pop']
19RybK6XDbAVpcdxSbZL1o,Apple,Charli xcx,25uiPmTg16RbhZWAqwLBy5,86,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,audio_features,spotify:track:19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/tracks/19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/audio-analysis/19RybK6XDbAVpcdxSbZL1o,151740,4,Charli xcx,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,89,0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,audio_features,spotify:track:0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,223320,4,Omar Courtz,"['trap boricua', 'trap latino', 'urbano latino']"
